aprovacao_id,ano_vestibular,aluno_id,universidade,curso_aprovado,modalidade_vaga,chamada,bolsa_aprovacao,data_resultado,nota_final_vestibular,campus
V000001,2021,A00024,UECE,Arquitetura,PPI,SISU,Sim,2021-12-27,745.6,Crateús
V000002,2021,A00025,UNILAB,Engenharia Civil,Cota escola pública,Vestibular próprio,Não,2021-01-08,674.4,Quixadá
V000003,2021,A00026,UFRN,Enfermagem,PCD,SISU,Sim,2021-03-19,686.5,Fortaleza
V000004,2021,A00046,UFC,Jornalismo,PCD,2ª chamada,Parcial,2021-03-08,837.4,Fortaleza
V000005,2021,A00085,UFCA,Enfermagem,PCD,Vestibular próprio,Não informado,2021-12-21,673.6,Juazeiro
V000006,2021,A00108,UECE,Jornalismo,Ampla concorrência,1ª chamada,Parcial,2021-02-20,865.6,
V000007,2021,A00132,UECE,Enfermagem,Ampla concorrência,1ª chamada,Sim,2021-12-18,878.9,Crateús
V000008,2021,A00137,UERN,Ciência da Computação,Ampla concorrência,1ª chamada,Sim,2021-02-07,750.7,Quixadá
V000009,2021,A00144,UVA,Engenharia Civil,Ampla concorrência,Vestibular próprio,Sim,2021-03-02,736.2,Crateús
V000010,2021,A00176,UECE,Direito,PCD,Lista de espera,Parcial,2021-01-16,693.2,Crateús
V000011,2021,A00199,UNIFOR,Engenharia de Software,Não informado,Lista de espera,Não,2021-01-01,844.4,Juazeiro
V000012,2021,A00211,UFC,Psicologia,PPI,SISU,Não,2021-03-04,827.0,Crateús
V000013,2021,A00216,UFC,Engenharia de Software,PPI,Lista de espera,Não informado,2021-12-09,682.9,Fortaleza
V000014,2021,A00227,UNILAB,Engenharia de Software,PCD,Vestibular próprio,Parcial,2021-03-17,749.4,Fortaleza
V000015,2021,A00262,UFRN,Medicina,Ampla concorrência,2ª chamada,Não,2021-02-06,644.1,Sobral
V000016,2021,A00288,UFRN,Fisioterapia,Não informado,Lista de espera,Não informado,2021-01-18,684.3,
V000017,2021,A00294,UNIFOR,Design,PCD,SISU,Parcial,2021-01-05,625.6,Sobral
V000018,2021,A00313,IFCE,Psicologia,PCD,2ª chamada,Sim,2021-01-03,493.9,
V000019,2021,A00323,UECE,Odontologia,Ampla concorrência,Vestibular próprio,Não informado,2021-03-21,740.4,Crateús
V000020,2021,A00325,UECE,Enfermagem,Ampla concorrência,2ª chamada,Sim,2021-02-01,731.7,Fortaleza
V000021,2021,A00333,UFRN,Administração,Ampla concorrência,Vestibular próprio,Sim,2021-12-28,885.6,Quixadá
V000022,2021,A00340,UNILAB,Psicologia,Cota escola pública,SISU,Não,2021-02-25,776.6,Juazeiro
V000023,2021,A00356,UFRN,Fisioterapia,Ampla concorrência,Vestibular próprio,Sim,2021-02-06,764.8,
V000024,2021,A00363,UFCA,Design,Não informado,Lista de espera,Não,2021-01-27,801.3,Fortaleza
V000025,2021,A00368,UFPE,Odontologia,PPI,2ª chamada,Parcial,2021-03-01,715.0,Fortaleza
V000026,2021,A00382,UNILAB,Direito,Ampla concorrência,2ª chamada,Parcial,2021-02-27,743.1,
V000027,2021,A00413,UFC,Administração,PCD,Vestibular próprio,Parcial,2021-02-19,721.2,Quixadá
V000028,2021,A00445,UFCA,Arquitetura,Ampla concorrência,Lista de espera,Sim,2021-12-03,811.0,
V000029,2021,A00481,UNIFOR,Direito,PCD,Vestibular próprio,Sim,2021-02-24,805.9,Crateús
V000030,2021,A00487,UFPE,Direito,Não informado,Vestibular próprio,Não informado,2021-01-28,684.8,Juazeiro
V000031,2021,A00499,UECE,Enfermagem,Cota escola pública,Vestibular próprio,Parcial,2021-12-08,612.0,Quixadá
V000032,2021,A00507,UECE,Engenharia de Software,Ampla concorrência,Lista de espera,Sim,2021-12-04,599.4,Fortaleza
V000033,2021,A00524,UNIFOR,Economia,Ampla concorrência,2ª chamada,Não,2021-01-02,621.0,
V000034,2021,A00530,UNILAB,Engenharia Civil,Cota escola pública,2ª chamada,Sim,2021-03-23,677.1,
V000035,2021,A00534,UECE,Fisioterapia,PPI,2ª chamada,Não informado,2021-03-27,691.4,Sobral
V000036,2021,A00536,UFCA,Administração,Ampla concorrência,Vestibular próprio,Não,2021-02-15,606.9,
V000037,2021,A00547,IFCE,Administração,Ampla concorrência,1ª chamada,Não informado,2021-12-09,672.3,Juazeiro
V000038,2021,A00582,UFC,Fisioterapia,Ampla concorrência,Vestibular próprio,Não,2021-01-24,687.6,Crateús
V000039,2021,A00595,UNILAB,Fisioterapia,Cota escola pública,1ª chamada,Não,2021-02-22,744.8,Crateús
V000040,2021,A00625,UNIFOR,Fisioterapia,Ampla concorrência,SISU,Não,2021-03-27,595.0,Fortaleza
V000041,2021,A00636,UFC,Design,Ampla concorrência,2ª chamada,Não informado,2021-03-25,724.5,Juazeiro
V000042,2021,A00672,UNILAB,Enfermagem,Não informado,Lista de espera,Não informado,2021-01-18,787.0,Quixadá
V000043,2021,A00689,UFCA,Enfermagem,PPI,Lista de espera,Não informado,2021-01-22,650.6,
V000044,2021,A00721,UVA,Enfermagem,PPI,1ª chamada,Não informado,2021-12-12,697.2,Juazeiro
V000045,2021,A00755,UERN,Enfermagem,Cota escola pública,2ª chamada,Sim,2021-03-03,814.2,Fortaleza
V000046,2021,A00764,UECE,Odontologia,Não informado,Lista de espera,Não,2021-03-17,724.0,
V000047,2021,A00776,UFC,Odontologia,Não informado,Vestibular próprio,Não,2021-01-19,756.6,
V000048,2021,A00791,UFC,Fisioterapia,PPI,SISU,Sim,2021-02-09,815.3,Juazeiro
V000049,2021,A00793,UVA,Enfermagem,Não informado,1ª chamada,Parcial,2021-12-23,633.8,Juazeiro
V000050,2021,A00798,UERN,Fisioterapia,PCD,2ª chamada,Sim,2021-03-12,699.6,Juazeiro
V000051,2022,A00022,UFRN,Economia,PCD,2ª chamada,Não informado,2022-12-20,655.6,Sobral
V000052,2022,A00025,UECE,Arquitetura,Cota escola pública,Vestibular próprio,Não informado,2022-02-18,742.7,
V000053,2022,A00026,UECE,Jornalismo,PPI,SISU,Não informado,2022-12-01,724.5,Fortaleza
V000054,2022,A00035,UECE,Fisioterapia,Cota escola pública,Lista de espera,Sim,2022-01-01,737.4,Juazeiro
V000055,2022,A00048,UVA,Engenharia Civil,Não informado,2ª chamada,Não,2022-01-02,663.7,Juazeiro
V000056,2022,A00054,UECE,Economia,Não informado,1ª chamada,Parcial,2022-12-13,619.0,Quixadá
V000057,2022,A00076,UERN,Odontologia,PPI,1ª chamada,Não informado,2022-02-22,603.5,Sobral
V000058,2022,A00083,UFC,Administração,Não informado,Lista de espera,Sim,2022-12-12,734.1,
V000059,2022,A00099,UECE,Arquitetura,Ampla concorrência,SISU,Não,2022-01-03,794.1,Fortaleza
V000060,2022,A00110,UERN,Fisioterapia,Não informado,1ª chamada,Não,2022-12-25,787.6,Fortaleza
V000061,2022,A00120,UECE,Administração,Ampla concorrência,Vestibular próprio,Não informado,2022-01-26,914.1,Crateús
V000062,2022,A00148,UECE,Economia,Cota escola pública,1ª chamada,Não,2022-01-19,890.5,Juazeiro
V000063,2022,A00162,UNILAB,Design,PPI,Lista de espera,Não informado,2022-12-04,922.8,
V000064,2022,A00181,UFC,Jornalismo,Ampla concorrência,SISU,Parcial,2022-01-04,755.2,Sobral
V000065,2022,A00187,UECE,Arquitetura,Ampla concorrência,2ª chamada,Não informado,2022-03-22,808.7,Quixadá
V000066,2022,A00232,UECE,Arquitetura,Cota escola pública,Vestibular próprio,Parcial,2022-01-04,751.7,Fortaleza
V000067,2022,A00275,UFC,Engenharia Civil,Cota escola pública,Lista de espera,Sim,2022-03-12,619.8,
V000068,2022,A00299,UFC,Design,Cota escola pública,2ª chamada,Não informado,2022-02-27,732.9,
V000069,2022,A00303,UNIFOR,Odontologia,Ampla concorrência,SISU,Não informado,2022-12-01,695.4,Sobral
V000070,2022,A00304,UVA,Medicina,Não informado,1ª chamada,Parcial,2022-03-05,715.1,Crateús
V000071,2022,A00313,UFRN,Enfermagem,PCD,2ª chamada,Não,2022-02-21,875.2,Juazeiro
V000072,2022,A00355,UFCA,Enfermagem,Não informado,Lista de espera,Sim,2022-01-25,681.1,Quixadá
V000073,2022,A00381,UFPE,Ciência da Computação,Cota escola pública,Vestibular próprio,Não informado,2022-01-16,713.7,Fortaleza
V000074,2022,A00394,UFPE,Design,PCD,Lista de espera,Não informado,2022-12-07,724.2,Quixadá
V000075,2022,A00414,UNIFOR,Engenharia de Software,PCD,Vestibular próprio,Não,2022-12-18,792.4,Quixadá
V000076,2022,A00417,UVA,Ciência da Computação,Não informado,Lista de espera,Sim,2022-12-12,815.7,Fortaleza
V000077,2022,A00443,UERN,Administração,Ampla concorrência,Vestibular próprio,Não informado,2022-02-18,743.8,Fortaleza
V000078,2022,A00476,UFCA,Jornalismo,PCD,2ª chamada,Sim,2022-02-27,729.4,Fortaleza
V000079,2022,A00488,UNILAB,Odontologia,Não informado,Lista de espera,Não informado,2022-03-20,881.2,Fortaleza
V000080,2022,A00489,UECE,Design,Não informado,SISU,Não informado,2022-12-28,779.0,Fortaleza
V000081,2022,A00507,IFCE,Economia,Ampla concorrência,2ª chamada,Parcial,2022-01-10,757.6,Crateús
V000082,2022,A00518,UVA,Jornalismo,PCD,Lista de espera,Sim,2022-02-10,792.9,Fortaleza
V000083,2022,A00520,UNILAB,Jornalismo,Ampla concorrência,2ª chamada,Não,2022-01-15,693.2,Fortaleza
V000084,2022,A00522,UVA,Arquitetura,Não informado,Vestibular próprio,Não,2022-12-25,680.9,Crateús
V000085,2022,A00528,UVA,Odontologia,Ampla concorrência,SISU,Sim,2022-01-27,796.2,Juazeiro
V000086,2022,A00551,UFC,Odontologia,Cota escola pública,SISU,Sim,2022-02-09,730.0,
V000087,2022,A00556,UNIFOR,Engenharia de Software,PPI,SISU,Sim,2022-03-13,523.9,Juazeiro
V000088,2022,A00599,UFCA,Economia,Cota escola pública,Vestibular próprio,Sim,2022-12-07,851.3,Sobral
V000089,2022,A00600,UECE,Engenharia Civil,Ampla concorrência,SISU,Não informado,2022-03-26,795.4,
V000090,2022,A00616,UFC,Psicologia,Não informado,2ª chamada,Parcial,2022-03-20,721.8,Juazeiro
V000091,2022,A00636,UNILAB,Odontologia,Ampla concorrência,Vestibular próprio,Não,2022-02-18,764.0,
V000092,2022,A00650,UFPE,Design,Ampla concorrência,1ª chamada,Sim,2022-02-11,784.6,Juazeiro
V000093,2022,A00654,UFRN,Economia,Ampla concorrência,Vestibular próprio,Sim,2022-03-14,766.8,
V000094,2022,A00675,UERN,Direito,Não informado,1ª chamada,Sim,2022-03-02,611.4,Quixadá
V000095,2022,A00699,UNILAB,Arquitetura,PPI,Lista de espera,Não informado,2022-02-15,689.5,Juazeiro
V000096,2022,A00708,UFC,Administração,Ampla concorrência,Vestibular próprio,Não informado,2022-01-22,682.4,Quixadá
V000097,2022,A00714,UVA,Medicina,Não informado,1ª chamada,Não informado,2022-01-03,716.8,
V000098,2022,A00718,UNIFOR,Engenharia de Software,Ampla concorrência,SISU,Sim,2022-12-15,840.9,Crateús
V000099,2022,A00721,UECE,Engenharia Civil,Não informado,2ª chamada,Sim,2022-01-25,773.3,Quixadá
V000100,2022,A00729,UVA,Direito,PPI,1ª chamada,Parcial,2022-01-26,708.3,
V000101,2022,A00740,UNIFOR,Direito,Cota escola pública,1ª chamada,Sim,2022-12-22,670.9,Fortaleza
V000102,2022,A00773,UERN,Psicologia,PPI,Vestibular próprio,Não,2022-01-28,815.1,Quixadá
V000103,2022,A00794,UECE,Direito,Ampla concorrência,Lista de espera,Parcial,2022-01-26,690.7,Juazeiro
V000104,2023,A00001,UFPE,Engenharia de Software,PPI,2ª chamada,Não informado,2023-01-04,784.4,Sobral
V000105,2023,A00006,UFC,Engenharia Civil,Cota escola pública,Lista de espera,Não informado,2023-02-26,670.2,Quixadá
V000106,2023,A00016,UFC,Medicina,Cota escola pública,Lista de espera,Parcial,2023-01-14,898.3,Quixadá
