aluno_id,cidade,escola_origem,canal_captacao,n_matriculas,taxa_presenca,nota_pct_media,nota_diagnostico_media,aprovado
A00001,Fortaleza,Não informado,Instagram,17,83.5820895522388,63.35837837837837,57.358823529411765,1
A00002,Crato,Federal,Feira escolar,8,89.55223880597015,57.236111111111114,57.6125,0
A00003,Horizonte,Privada,Indicação,11,81.81818181818183,60.812727272727265,59.31818181818182,0
A00004,Juazeiro do Norte,Pública,Google,10,85.29411764705883,60.78357142857143,54.64,0
A00005,Caucaia,Não informado,WhatsApp,11,84.76190476190476,52.54772727272727,63.809090909090905,0
A00006,Horizonte,Privada,WhatsApp,19,84.45945945945947,64.4190625,61.136842105263156,1
A00007,Maracanaú,Não informado,Não informado,7,77.55102040816327,62.584210526315786,54.18571428571429,0
A00008,Itapipoca,Pública,Instagram,15,83.33333333333334,63.56666666666666,63.32,1
A00009,Fortaleza,Privada,Feira escolar,10,82.89473684210526,62.650999999999996,57.46,0
A00010,Sobral,Privada,Instagram,11,84.375,61.30384615384615,67.00909090909092,0
A00011,Aquiraz,Não informado,Indicação,14,77.77777777777779,60.82666666666666,58.050000000000004,0
A00012,Eusébio,Pública,Instagram,18,85.13513513513513,64.50558823529411,61.36666666666666,0
A00013,Maracanaú,Pública,Instagram,9,80.95238095238095,59.11740740740741,64.19999999999999,0
A00014,Juazeiro do Norte,Privada,WhatsApp,7,84.0909090909091,62.63625,64.05714285714285,0
A00015,Fortaleza,Não informado,WhatsApp,8,88.88888888888889,68.69,50.1875,0
A00016,Fortaleza,Federal,Indicação,16,79.38931297709924,65.03999999999999,65.1875,1
A00017,Juazeiro do Norte,Pública,Google,9,80.0,64.49055555555555,59.98888888888889,1
A00018,Fortaleza,Não informado,WhatsApp,11,88.04347826086956,58.60739130434783,50.90909090909091,0
A00019,Fortaleza,Não informado,Não informado,9,82.5,53.01294117647059,57.766666666666666,1
A00020,Fortaleza,Não informado,Instagram,11,81.42857142857143,62.36904761904762,60.25454545454545,0
A00021,Aquiraz,Pública,Feira escolar,7,84.48275862068965,64.55375,59.457142857142856,1
A00022,Fortaleza,Privada,Não informado,21,80.89171974522293,60.98309523809524,52.08571428571428,1
A00023,Juazeiro do Norte,Não informado,Não informado,16,86.36363636363636,58.13205882352941,55.0,1
A00024,Maracanaú,Federal,Google,18,85.8108108108108,65.60392156862746,59.638888888888886,1
A00025,Crato,Pública,WhatsApp,16,83.82352941176471,60.275957446808505,56.975,1
A00026,Juazeiro do Norte,Privada,Instagram,17,82.64462809917356,67.26765957446808,57.21764705882353,1
A00027,Pacatuba,Pública,Não informado,10,86.36363636363636,62.940714285714286,55.839999999999996,1
A00028,Pacatuba,Pública,Não informado,8,78.94736842105263,67.53076923076922,64.5125,0
A00029,Eusébio,Pública,WhatsApp,7,88.88888888888889,66.0,55.18571428571429,1
A00030,Fortaleza,Privada,Instagram,9,83.13253012048193,59.099999999999994,60.87777777777777,0
A00031,Crato,Privada,Google,26,85.07462686567165,60.24293103448276,56.44230769230769,1
A00032,Sobral,Não informado,Feira escolar,11,82.71604938271605,63.78947368421053,58.26363636363636,0
A00033,Maracanaú,Não informado,Não informado,15,84.0,63.5026,53.71333333333334,0
A00034,Juazeiro do Norte,Federal,WhatsApp,10,79.48717948717949,63.972272727272724,63.25,1
A00035,Eusébio,Federal,Instagram,9,83.33333333333334,61.95458333333334,58.55555555555556,1
A00036,Sobral,Pública,Indicação,11,79.56989247311827,62.454499999999996,54.9,0
A00037,Fortaleza,Federal,Feira escolar,22,82.85714285714286,59.586666666666666,58.42727272727273,1
A00038,Sobral,Pública,WhatsApp,19,81.57894736842105,57.39744186046512,57.66842105263158,0
A00039,Fortaleza,Pública,Instagram,7,90.38461538461539,59.130434782608695,58.885714285714286,0
A00040,Pacatuba,Pública,WhatsApp,8,83.09859154929578,63.03103448275862,57.9625,0
A00041,Horizonte,Federal,Não informado,8,76.66666666666667,67.13199999999999,53.5625,0
A00042,Eusébio,Pública,Não informado,11,88.04347826086956,64.13733333333333,55.67272727272727,0
A00043,Pacatuba,Pública,Indicação,10,84.21052631578947,61.55681818181818,56.879999999999995,0
A00044,Maracanaú,Pública,WhatsApp,11,77.21518987341773,63.438095238095244,55.25454545454545,0
A00045,Itapipoca,Não informado,Indicação,20,84.14634146341463,60.207812499999996,56.910000000000004,1
A00046,Fortaleza,Pública,Instagram,6,93.02325581395348,62.151428571428575,66.43333333333334,1
A00047,Sobral,Pública,Google,10,88.37209302325581,59.50944444444445,53.31,1
A00048,Pacatuba,Pública,Indicação,11,81.91489361702128,64.42458333333333,65.57272727272726,1
A00049,Horizonte,Privada,Feira escolar,11,84.5360824742268,71.0155,61.48181818181818,1
A00050,Itapipoca,Privada,Indicação,10,91.78082191780823,62.17153846153846,54.529999999999994,0
A00051,Eusébio,Privada,Feira escolar,22,85.63218390804597,63.552058823529414,60.81363636363637,1
