aluno_id,propensao,segmento,aprovado
A00001,0.46944000381632783,Alta propensão,1
A00002,0.28374862471203827,Baixa propensão,0
A00003,0.4391705401513177,Alta propensão,0
A00004,0.34931807702071727,Média propensão,0
A00005,0.3365657775730532,Média propensão,0
A00006,0.5208598551413476,Alta propensão,1
A00007,0.28089501438800923,Baixa propensão,0
A00008,0.4326797144605563,Alta propensão,1
A00009,0.36117923034687655,Média propensão,0
A00010,0.36804510356466247,Média propensão,0
A00011,0.4888163453088819,Alta propensão,0
A00012,0.5070811431456549,Alta propensão,0
A00013,0.2989604499767831,Baixa propensão,0
A00014,0.23416354728559913,Baixa propensão,0
A00015,0.1942493908584651,Baixa propensão,0
A00016,0.5115513754297518,Alta propensão,1
A00017,0.3199857025951727,Média propensão,1
A00018,0.2874582997283097,Baixa propensão,0
A00019,0.37607396649605535,Média propensão,1
A00020,0.32212173238398695,Média propensão,0
A00021,0.26740651317313163,Baixa propensão,1
A00022,0.6758815735157432,Alta propensão,1
A00023,0.539369198131554,Alta propensão,1
A00024,0.5203786060834062,Alta propensão,1
A00025,0.4223671673584513,Alta propensão,1
A00026,0.4795691878962493,Alta propensão,1
A00027,0.36243502594876037,Média propensão,1
A00028,0.31143348249887315,Média propensão,0
A00029,0.1948621890414818,Baixa propensão,1
A00030,0.3129294748217438,Média propensão,0
A00031,0.7808580606534167,Alta propensão,1
A00032,0.35796250434762056,Média propensão,0
A00033,0.4839671422983652,Alta propensão,0
A00034,0.24323390589483537,Baixa propensão,1
A00035,0.2493732668653611,Baixa propensão,1
A00036,0.3974689175282193,Alta propensão,0
A00037,0.6407761154200964,Alta propensão,1
A00038,0.5181251754662357,Alta propensão,0
A00039,0.2478185793526287,Baixa propensão,0
A00040,0.2247232906859776,Baixa propensão,0
A00041,0.25975710897119586,Baixa propensão,0
A00042,0.3836975225703398,Média propensão,0
A00043,0.3815138949087336,Média propensão,0
A00044,0.27874846671155457,Baixa propensão,0
A00045,0.652486370607086,Alta propensão,1
A00046,0.23249086782124226,Baixa propensão,1
A00047,0.3526245788399798,Média propensão,1
A00048,0.41573547722317805,Alta propensão,1
A00049,0.3627129072445382,Média propensão,1
A00050,0.39906710045026283,Alta propensão,0
A00051,0.6857361330915714,Alta propensão,1
A00052,0.25072205234835326,Baixa propensão,0
A00053,0.24814116527749164,Baixa propensão,0
A00054,0.3769154624072368,Média propensão,1
A00055,0.25148629531237077,Baixa propensão,0
A00056,0.3730969322298261,Média propensão,0
A00057,0.3502536154910655,Média propensão,0
A00058,0.3805783475724958,Média propensão,0
A00059,0.40215311924545116,Alta propensão,1
A00060,0.6420012105658427,Alta propensão,1
A00061,0.3024870596635059,Média propensão,0
A00062,0.6116902244731385,Alta propensão,1
A00063,0.5894734901207134,Alta propensão,1
A00064,0.482176723019935,Alta propensão,1
A00065,0.3435488623202709,Média propensão,0
A00066,0.3580702002804979,Média propensão,0
A00067,0.2679047449721324,Baixa propensão,0
A00068,0.6350875626460744,Alta propensão,1
A00069,0.5112108803917642,Alta propensão,1
A00070,0.31836462180765357,Média propensão,0
A00071,0.21822731599695136,Baixa propensão,0
A00072,0.2488554663118319,Baixa propensão,0
A00073,0.393281915000645,Alta propensão,0
A00074,0.29846551046760766,Baixa propensão,0
A00075,0.316505967063515,Média propensão,0
A00076,0.5533911973270573,Alta propensão,1
A00077,0.6453714508912265,Alta propensão,1
A00078,0.5907714968205438,Alta propensão,0
A00079,0.46408844996243187,Alta propensão,1
A00080,0.24010945965852937,Baixa propensão,1
A00081,0.33326893127600016,Média propensão,1
A00082,0.3531335766248372,Média propensão,1
A00083,0.4238788108088463,Alta propensão,1
A00084,0.23967070540223606,Baixa propensão,0
A00085,0.33932721895592827,Média propensão,1
A00086,0.38019861442057545,Média propensão,1
A00087,0.5102246591424934,Alta propensão,1
A00088,0.6049788625879842,Alta propensão,0
A00089,0.3132903894974497,Média propensão,0
A00090,0.26190922223607643,Baixa propensão,1
A00091,0.555242380422866,Alta propensão,0
A00092,0.3026550418906627,Média propensão,0
A00093,0.31600094201750917,Média propensão,0
A00094,0.3305538598557408,Média propensão,0
A00095,0.6025015971904583,Alta propensão,0
A00096,0.2378922766696539,Baixa propensão,1
A00097,0.276578529190905,Baixa propensão,0
A00098,0.24640823833678688,Baixa propensão,0
A00099,0.26436185744244795,Baixa propensão,1
A00100,0.2882926858031284,Baixa propensão,0
A00101,0.3114803422211551,Média propensão,1
A00102,0.7571069941622414,Alta propensão,1
A00103,0.34177808166391954,Média propensão,0
A00104,0.7424875270148523,Alta propensão,0
A00105,0.3763542038610197,Média propensão,0
A00106,0.35274486720914383,Média propensão,0
A00107,0.5119040993558022,Alta propensão,1
A00108,0.2761183540604127,Baixa propensão,1
A00109,0.5547315103303553,Alta propensão,1
A00110,0.23469519417299525,Baixa propensão,1
A00111,0.5909378368166617,Alta propensão,1
A00112,0.4003661002888081,Alta propensão,0
A00113,0.5382567403866867,Alta propensão,0
A00114,0.469215469274141,Alta propensão,0
A00115,0.4692060381815243,Alta propensão,0
A00116,0.2804649577085782,Baixa propensão,0
A00117,0.3268377375767786,Média propensão,0
A00118,0.2606509221397278,Baixa propensão,0
A00119,0.28435677581053065,Baixa propensão,0
A00120,0.6373419423419314,Alta propensão,1
A00121,0.3245499133478275,Média propensão,0
A00122,0.28510015110943604,Baixa propensão,0
A00123,0.27844606560908214,Baixa propensão,0
A00124,0.254165067246306,Baixa propensão,1
A00125,0.5580471433130089,Alta propensão,0
A00126,0.28672042241325985,Baixa propensão,0
A00127,0.3191736378630999,Média propensão,0
A00128,0.30665143456952854,Média propensão,0
A00129,0.7883335735264184,Alta propensão,1
A00130,0.30280136977697125,Média propensão,1
A00131,0.33113138037856765,Média propensão,0
A00132,0.29354079552392015,Baixa propensão,1
A00133,0.5082296031029312,Alta propensão,1
A00134,0.5921732104387468,Alta propensão,0
A00135,0.31846816300733094,Média propensão,0
A00136,0.27879275158402383,Baixa propensão,0
A00137,0.2990989859266575,Baixa propensão,1
A00138,0.5349809286007317,Alta propensão,0
A00139,0.5332714196464248,Alta propensão,0
A00140,0.5182792407422144,Alta propensão,0
A00141,0.3173384566057453,Média propensão,0
A00142,0.2048594745434571,Baixa propensão,0
A00143,0.5719740922619181,Alta propensão,0
A00144,0.8064170357405858,Alta propensão,1
A00145,0.5411409688581232,Alta propensão,0
A00146,0.37369221735744174,Média propensão,0
A00147,0.29671198395300147,Baixa propensão,0
A00148,0.3085743385974309,Média propensão,1
A00149,0.3510325014329797,Média propensão,1
A00150,0.31219964243076337,Média propensão,0
A00151,0.2894282212845212,Baixa propensão,0
A00152,0.6093237672534887,Alta propensão,1
A00153,0.32607347255456837,Média propensão,0
A00154,0.22128262713828672,Baixa propensão,0
A00155,0.3121845453459875,Média propensão,0
A00156,0.324314794372377,Média propensão,1
A00157,0.23837896255300414,Baixa propensão,1
A00158,0.3373085051883271,Média propensão,1
A00159,0.4723641721338352,Alta propensão,0
A00160,0.3437564715046562,Média propensão,0
A00161,0.2720288124171701,Baixa propensão,0
A00162,0.621089532430818,Alta propensão,1
A00163,0.3056868357154496,Média propensão,0
A00164,0.2591384547306003,Baixa propensão,0
A00165,0.37683715275342106,Média propensão,0
A00166,0.27387282531387824,Baixa propensão,0
A00167,0.34354563278955325,Média propensão,0
A00168,0.5687531790841907,Alta propensão,0
A00169,0.3866366075087418,Alta propensão,0
A00170,0.25946599791824726,Baixa propensão,0
A00171,0.3162312283327601,Média propensão,1
A00172,0.39377920464785143,Alta propensão,0
A00173,0.257503140031204,Baixa propensão,1
A00174,0.30029741722632186,Média propensão,0
A00175,0.40978580131823567,Alta propensão,1
A00176,0.2710926148313507,Baixa propensão,1
A00177,0.48983014948148806,Alta propensão,1
A00178,0.34388815850885635,Média propensão,0
A00179,0.3326265027656009,Média propensão,0
A00180,0.38365797399755197,Média propensão,0
A00181,0.31463013541729484,Média propensão,1
A00182,0.3716559489609332,Média propensão,1
A00183,0.22648715175623413,Baixa propensão,0
A00184,0.20013985638257523,Baixa propensão,0
A00185,0.5648093143431935,Alta propensão,1
A00186,0.304901559821183,Média propensão,0
A00187,0.4335098375119312,Alta propensão,1
A00188,0.3743572453790081,Média propensão,0
A00189,0.5261520028704905,Alta propensão,0
A00190,0.43458922541857886,Alta propensão,0
A00191,0.3380660219406159,Média propensão,0
A00192,0.3650592661689646,Média propensão,0
A00193,0.24259711823205088,Baixa propensão,1
A00194,0.5547417378237479,Alta propensão,0
A00195,0.2320536251746829,Baixa propensão,0
A00196,0.28848406406849175,Baixa propensão,0
A00197,0.29828794780013945,Baixa propensão,1
A00198,0.4220670104545863,Alta propensão,0
A00199,0.36540200923882926,Média propensão,1
A00200,0.2979794551942682,Baixa propensão,0
A00201,0.8175366423685961,Alta propensão,1
A00202,0.5423458795094347,Alta propensão,1
A00203,0.3961145436066854,Alta propensão,0
A00204,0.3694203247299104,Média propensão,0
A00205,0.2173002906484987,Baixa propensão,0
A00206,0.5766669141988393,Alta propensão,1
A00207,0.315427735085473,Média propensão,0
A00208,0.5438437861857673,Alta propensão,0
A00209,0.7984774336281174,Alta propensão,1
A00210,0.3399850815297082,Média propensão,0
A00211,0.3307069845637264,Média propensão,1
A00212,0.3795608080803927,Média propensão,0
A00213,0.6375322265781169,Alta propensão,0
A00214,0.24149371875776005,Baixa propensão,1
A00215,0.39254361342976074,Alta propensão,0
A00216,0.4017043320729494,Alta propensão,1
A00217,0.26136937326687465,Baixa propensão,0
A00218,0.3062793663203274,Média propensão,0
A00219,0.5664516782115065,Alta propensão,0
A00220,0.2481735956778407,Baixa propensão,1
A00221,0.266529072473878,Baixa propensão,0
A00222,0.5169056684802312,Alta propensão,0
A00223,0.31052165615025645,Média propensão,1
A00224,0.5654654430101008,Alta propensão,1
A00225,0.5641426497718908,Alta propensão,0
A00226,0.7920251576147882,Alta propensão,1
A00227,0.2627554491689214,Baixa propensão,1
A00228,0.3489493695437796,Média propensão,0
A00229,0.22548479831248922,Baixa propensão,0
A00230,0.24899653704942942,Baixa propensão,1
A00231,0.3649826715133318,Média propensão,0
A00232,0.7945166778155088,Alta propensão,1
A00233,0.43055789294392,Alta propensão,0
A00234,0.35371465351585113,Média propensão,0
A00235,0.21596967434456385,Baixa propensão,0
A00236,0.5945256318651793,Alta propensão,0
A00237,0.40786043373616554,Alta propensão,0
A00238,0.36322645100714107,Média propensão,1
A00239,0.31368529994532673,Média propensão,1
A00240,0.4866896033373399,Alta propensão,0
A00241,0.25022497756461487,Baixa propensão,0
A00242,0.30311843505478264,Média propensão,0
A00243,0.2686328333681964,Baixa propensão,0
A00244,0.29824202180682,Baixa propensão,0
A00245,0.32664557450864545,Média propensão,0
A00246,0.3174451829748057,Média propensão,0
A00247,0.5308887472467959,Alta propensão,1
A00248,0.2613010983147522,Baixa propensão,0
A00249,0.6309217195295345,Alta propensão,0
A00250,0.8444053379665848,Alta propensão,1
A00251,0.304733204209107,Média propensão,1
A00252,0.2639812097042962,Baixa propensão,1
A00253,0.28410063547073017,Baixa propensão,0
A00254,0.2754373501896896,Baixa propensão,1
A00255,0.20114719104921255,Baixa propensão,0
A00256,0.49808845385970735,Alta propensão,0
A00257,0.3283348456449008,Média propensão,0
