materia,nota_pct_media,n_resultados,presenca_media,taxa_conclusao,taxa_aprovacao,n_alunos
Biologia,61.139734366353075,1807,83.04767840448739,70.9838107098381,38.95522388059702,670
Filosofia,61.56484884410195,1687,84.13102511880516,70.55837563451777,39.29121725731895,649
Física,60.96675311203319,1928,84.49992099857798,67.70186335403726,41.03343465045592,658
Geografia,60.742154024319625,1727,84.6821756225426,70.02583979328165,38.65030674846626,652
História,61.546266968325796,1768,84.16499304804573,74.55242966751918,40.0,650
Inglês,61.34458874458874,1617,83.63194655329487,68.52300242130751,39.67065868263473,668
Matemática,60.85038043478261,1840,83.8133924175283,71.42857142857143,38.25,800
Português,61.990227272727275,1760,84.65479697707185,68.98238747553816,38.25,800
Química,61.42973124300112,1786,84.10035400954287,70.03891050583657,39.21259842519685,635
Redação,71.8571974522293,1727,83.57476355800311,68.98238747553816,38.25,800
Sociologia,60.85181138585394,1739,83.33333333333334,69.00878293601004,38.92307692307692,650
