resultado_id,simulado_id,aluno_id,ano,materia,status_realizacao,nota,nota_valida,nota_pct,acertos,tempo_finalizacao_min,inicio_simulado,dispositivo,tentativas,unidade_aplicacao
R00000001,S20210001,A00775,2021,Matemática,Finalizado,92.6,92.6,92.6,55,319.0,2021-05-28 12:00:00,Desktop,1,Online
R00000002,S20210001,A00530,2021,Matemática,Finalizado,78.9,78.9,78.9,49,200.0,2021-10-10 10:00:00,Papel,,Online
R00000003,S20210001,A00227,2021,Matemática,Ausente,,,,,,2021-04-13 13:30:00,Papel,3,Online
R00000004,S20210001,A00521,2021,Matemática,Ausente,,,,,,2021-06-20 13:15:00,Celular,1,Centro
R00000005,S20210001,A00078,2021,Matemática,Finalizado,84.3,84.3,84.3,52,162.0,2021-10-08 11:00:00,Desktop,1,Aldeota
R00000006,S20210001,A00325,2021,Matemática,Finalizado,70.7,70.7,70.7,44,247.0,2021-10-18 10:00:00,Celular,1,Online
R00000007,S20210001,A00040,2021,Matemática,Incompleto,92.2,92.2,92.2,56,190.0,2021-06-24 00:00:00,Celular,3,Aldeota
R00000008,S20210001,A00627,2021,Matemática,Incompleto,73.9,73.9,73.9,44,303.0,2021-10-22 08:30:00,Papel,1,Sul
R00000009,S20210001,A00536,2021,Matemática,Finalizado,95.8,95.8,95.8,55,258.0,2021-04-24 18:45:00,Desktop,1,Centro
R00000010,S20210001,A00534,2021,Matemática,Finalizado,63.8,63.8,63.800000000000004,38,267.0,2021-04-10 16:15:00,Celular,1,Aldeota
R00000011,S20210001,A00026,2021,Matemática,Finalizado,47.7,47.7,47.7,27,241.0,2021-07-13 11:15:00,Desktop,1,Sul
R00000012,S20210001,A00011,2021,Matemática,Finalizado,55.0,55.0,55.00000000000001,30,180.0,2021-10-23 00:00:00,Não informado,,Aldeota
R00000013,S20210001,A00765,2021,Matemática,Finalizado,32.7,32.7,32.7,22,186.0,2021-11-02 00:00:00,Tablet,1,Não informado
R00000014,S20210001,A00295,2021,Matemática,Ausente,,,,,,2021-05-24 17:00:00,Desktop,3,Aldeota
R00000015,S20210001,A00033,2021,Matemática,Finalizado,83.1,83.1,83.1,51,230.0,2021-05-11 12:00:00,Desktop,1,Online
R00000016,S20210001,A00115,2021,Matemática,Finalizado,39.3,39.3,39.3,22,113.0,2021-08-07 15:30:00,Tablet,2,Online
R00000017,S20210001,A00216,2021,Matemática,Incompleto,44.6,44.6,44.6,28,97.0,2021-11-08 13:00:00,Celular,2,Sul
R00000018,S20210001,A00294,2021,Matemática,Finalizado,26.0,26.0,26.0,17,261.0,2021-09-11 15:45:00,Desktop,1,Online
R00000019,S20210001,A00112,2021,Matemática,Finalizado,37.7,37.7,37.7,20,212.0,2021-08-07 15:45:00,Tablet,1,Online
R00000020,S20210001,A00520,2021,Matemática,Finalizado,84.1,84.1,84.1,52,230.0,2021-05-22 10:45:00,Papel,1,Não informado
R00000021,S20210001,A00376,2021,Matemática,Não informado,80.3,80.3,80.3,46,198.0,2021-10-25 16:30:00,Não informado,1,Aldeota
