aula_id,oferta_id,ano,data_aula,materia,professor_id,turma,tema_aula,duracao_min,modalidade_aula
L0000001,O20210001,2021,2021-02-25,Matemática,P002,Extensivo A,Laboratório Matemática,50,Presencial
L0000002,O20210001,2021,2021-02-17,Matemática,P002,Extensivo A,Laboratório Matemática,60,Híbrido
L0000003,O20210001,2021,2021-03-16,Matemática,P002,Extensivo A,Resolução de questões Matemática,120,online
L0000004,O20210001,2021,2021-03-05,Matemática,P002,Extensivo A, Matemática,90,online
L0000005,O20210001,2021,2021-04-28,Matemática,P002,Extensivo A,Laboratório Matemática,,
L0000006,O20210001,2021,2021-04-04,Matemática,P002,Extensivo A,Correção de simulado Matemática,75,
L0000007,O20210001,2021,2021-05-10,Matemática,P002,Extensivo A,Resolução de questões Matemática,75,Online
L0000008,O20210001,2021,2021-05-17,Matemática,P002,Extensivo A, Matemática,60,Online
L0000009,O20210001,2021,2021-06-22,Matemática,P002,Extensivo A,Aula teórica Matemática,60,online
L0000010,O20210001,2021,2021-06-24,Matemática,P002,Extensivo A,Aula teórica Matemática,75,Híbrido
L0000011,O20210002,2021,2021-02-09,Física,P006,Extensivo A, Física,120,Online
L0000012,O20210002,2021,2021-02-21,Física,P006,Extensivo A,Revisão Física,120,Online
L0000013,O20210002,2021,2021-03-02,Física,P006,Extensivo A,Aula teórica Física,50,online
L0000014,O20210002,2021,2021-03-12,Física,P006,Extensivo A, Física,75,
L0000015,O20210002,2021,2021-04-10,Física,P006,Extensivo A,Aula teórica Física,120,Online
L0000016,O20210002,2021,2021-04-03,Física,P006,Extensivo A, Física,120,Presencial
L0000017,O20210002,2021,2021-05-11,Física,P006,Extensivo A, Física,60,Presencial
L0000018,O20210002,2021,2021-05-14,Física,P006,Extensivo A,Correção de simulado Física,120,
L0000019,O20210002,2021,2021-06-13,Física,P006,Extensivo A,Revisão Física,120,Online
L0000020,O20210002,2021,2021-06-03,Física,P006,Extensivo A,Revisão Física,120,online
L0000021,O20210002,2021,2021-07-02,Física,P006,Extensivo A,Laboratório Física,75,Presencial
L0000022,O20210002,2021,2021-07-12,Física,P006,Extensivo A,Resolução de questões Física,90,Presencial
L0000023,O20210002,2021,2021-08-18,Física,P006,Extensivo A,Revisão Física,120,
L0000024,O20210002,2021,2021-08-15,Física,P006,Extensivo A,Resolução de questões Física,120,Presencial
L0000025,O20210003,2021,2021-02-24,QUÍMICA,P008,Extensivo A,Resolução de questões Química,120,Presencial
L0000026,O20210003,2021,2021-02-19,QUÍMICA,P008,Extensivo A,Laboratório Química,60,Online
L0000027,O20210003,2021,2021-03-01,QUÍMICA,P008,Extensivo A, Química,50,Presencial
L0000028,O20210003,2021,2021-03-11,QUÍMICA,P008,Extensivo A, Química,120,Online
L0000029,O20210003,2021,05/04/2021,QUÍMICA,P008,Extensivo A,Resolução de questões Química,,
L0000030,O20210003,2021,2021-04-02,QUÍMICA,P008,Extensivo A,Aula teórica Química,60,Presencial
L0000031,O20210003,2021,2021-05-28,QUÍMICA,P008,Extensivo A,Revisão Química,50,Híbrido
L0000032,O20210003,2021,2021-05-03,QUÍMICA,P008,Extensivo A,Correção de simulado Química,90,Híbrido
L0000033,O20210003,2021,2021-06-22,QUÍMICA,P008,Extensivo A,Laboratório Química,50,
L0000034,O20210003,2021,2021-06-08,QUÍMICA,P008,Extensivo A,Resolução de questões Química,90,Online
L0000035,O20210003,2021,2021-07-25,QUÍMICA,P008,Extensivo A,Aula teórica Química,75,Online
L0000036,O20210003,2021,2021-07-14,QUÍMICA,P008,Extensivo A,Correção de simulado Química,120,online
L0000037,O20210003,2021,2021-08-19,QUÍMICA,P008,Extensivo A, Química,120,Híbrido
L0000038,O20210004,2021,2021-02-12,Biologia,P010,Extensivo A,Correção de simulado Biologia,,online
L0000039,O20210004,2021,2021-02-20,Biologia,P010,Extensivo A,Revisão Biologia,50,Híbrido
L0000040,O20210004,2021,2021-03-25,Biologia,P010,Extensivo A,Laboratório Biologia,90,Híbrido
L0000041,O20210004,2021,2021-03-02,Biologia,P010,Extensivo A,Revisão Biologia,75,
L0000042,O20210004,2021,2021-04-19,Biologia,P010,Extensivo A, Biologia,,
L0000043,O20210004,2021,2021-04-09,Biologia,P010,Extensivo A,Resolução de questões Biologia,50,online
L0000044,O20210004,2021,2021-05-11,Biologia,P010,Extensivo A,Revisão Biologia,90,Híbrido
L0000045,O20210004,2021,2021-05-13,Biologia,P010,Extensivo A,Resolução de questões Biologia,,Online
L0000046,O20210004,2021,2021-06-14,Biologia,P010,Extensivo A,Laboratório Biologia,75,
L0000047,O20210004,2021,2021-06-22,Biologia,P010,Extensivo A,Resolução de questões Biologia,90,Online
L0000048,O20210004,2021,2021-07-23,Biologia,P010,Extensivo A, Biologia,90,
L0000049,O20210005,2021,2021-02-15,História,P014,Extensivo A,Revisão História,120,
L0000050,O20210005,2021,2021/02/21,História,P014,Extensivo A, História,90,Híbrido
L0000051,O20210005,2021,2021-03-09,História,P014,Extensivo A,Aula teórica História,90,
L0000052,O20210005,2021,2021-03-09,História,P014,Extensivo A,Aula teórica História,90,online
L0000053,O20210005,2021,2021-04-13,História,P014,Extensivo A,Resolução de questões História,90,online
L0000054,O20210005,2021,2021-04-27,História,P014,Extensivo A,Resolução de questões História,75,Online
L0000055,O20210005,2021,2021-05-09,História,P014,Extensivo A,Aula teórica História,75,
L0000056,O20210005,2021,2021-05-24,História,P014,Extensivo A,Aula teórica História,50,Presencial
L0000057,O20210005,2021,2021-06-20,História,P014,Extensivo A,Aula teórica História,75,Híbrido
L0000058,O20210005,2021,2021-06-15,História,P014,Extensivo A,Resolução de questões História,50,Híbrido
L0000059,O20210005,2021,2021-07-05,História,P014,Extensivo A, História,75,online
L0000060,O20210005,2021,2021-07-10,História,P014,Extensivo A, História,75,Online
L0000061,O20210005,2021,2021-08-11,História,P014,Extensivo A,Revisão História,120,
L0000062,O20210005,2021,2021-08-10,História,P014,Extensivo A,Laboratório História,50,Presencial
L0000063,O20210006,2021,2021-02-06,Geografia,P016,Extensivo A, Geografia,,
L0000064,O20210006,2021,2021-02-09,Geografia,P016,Extensivo A,Aula teórica Geografia,,Online
L0000065,O20210006,2021,2021-03-05,Geografia,P016,Extensivo A, Geografia,90,Híbrido
L0000066,O20210006,2021,2021-03-13,Geografia,P016,Extensivo A,Correção de simulado Geografia,50,Online
L0000067,O20210006,2021,2021-04-24,Geografia,P016,Extensivo A,Aula teórica Geografia,75,Online
L0000068,O20210006,2021,2021-04-07,Geografia,P016,Extensivo A,Aula teórica Geografia,50,online
L0000069,O20210006,2021,2021-05-06,Geografia,P016,Extensivo A,Laboratório Geografia,60,Online
L0000070,O20210006,2021,2021-05-10,Geografia,P016,Extensivo A,Resolução de questões Geografia,90,Presencial
L0000071,O20210006,2021,2021-06-10,Geografia,P016,Extensivo A, Geografia,120,Presencial
L0000072,O20210006,2021,2021-06-20,Geografia,P016,Extensivo A,Resolução de questões Geografia,,
L0000073,O20210006,2021,2021-07-21,Geografia,P016,Extensivo A,Correção de simulado Geografia,60,Online
L0000074,O20210007,2021,2021-02-13,Português,P019,Extensivo A,Correção de simulado Português,90,Híbrido
