matricula_id,aluno_id,oferta_id,ano,materia_declarada,data_matricula,bolsa_percentual,status_matricula,nota_diagnostico,origem_captacao
M0000001,A00001,O20230092,2023,Biologia,2023-03-06,25,Concluída,58.3,Feira escolar
M0000002,A00001,O20230090,2023,Física,2023-01-20,20,Concluída,54.2,Google
M0000003,A00001,O20230094,2023,Geografia,2023-04-22,50,Concluída,53.1,WhatsApp
M0000004,A00001,O20230097,2023,Inglês,2023-03-06,0,Concluída,70.4,Google
M0000005,A00001,O20230089,2023,Matemática,2023-04-06,10,Concluída,51.3,Indicação
M0000006,A00001,O20230095,2023,Portugues,2023-01-07,,Concluída,32.9,
M0000007,A00001,O20230091,2023,Química,2023-01-16,,Concluída,41.5,
M0000008,A00001,O20230096,2023,Redação,2023-01-22,15,Concluída,93.3,Indicação
M0000009,A00001,O20230099,2023,Sociologia,2023-01-28,,Concluída,71.2,Feira escolar
M0000010,A00001,O20240158,2024,Biologia,2024-03-14,15,Cancelada,68.7,Indicação
M0000011,A00001,O20240156,2024,Física,2024-04-28,50,Ativa,48.2,Instagram
M0000012,A00001,O20240160,2024,Geografia,2024-03-24,25,Ativa,59.4,
M0000013,A00001,O20240163,2024,Ingles,2024-04-12,20,Ativa,53.2,WhatsApp
M0000014,A00001,O20240155,2024,Matemática,2024-04-20,0,concluida,55.0,Feira escolar
M0000015,A00001,O20240161,2024,Português,2024-01-16,,Cancelada,62.6,Indicação
M0000016,A00001,O20240162,2024,Redação,2024-02-18,30,Concluída,58.5,Feira escolar
M0000017,A00001,O20240165,2024,Sociologia,2024-01-02,20,Concluída,43.3,Google
M0000018,A00002,O20250180,2025,Biologia,05/02/2025,0,Concluída,95.5,Feira escolar
M0000019,A00002,O20250186,2025,Filosofia,2025-02-15,15,Concluída,74.7,Indicação
M0000020,A00002,O20250185,2025,Inglês,2025-04-16,15,Concluída,60.8,WhatsApp
M0000021,A00002,O20250177,2025,Matemática,2025-01-18,0,Concluída,35.5,WhatsApp
M0000022,A00002,O20250183,2025,Português,2025-02-05,15,Concluída,50.0,Google
M0000023,A00002,O20250179,2025,Química,2025-02-10,,Cancelada,45.9,Google
M0000024,A00002,O20250184,2025,Redação,2025-02-12,0,Concluída,56.3,
M0000025,A00002,O20250187,2025,Sociologia,2025-02-20,0,Ativa,42.2,Feira escolar
M0000026,A00003,O20220048,2022,Biologia,2022-02-13,15,Concluída,85.2,Google
M0000027,A00003,O20220054,2022,Filosofia,2022-04-01,0,Concluída,50.9,WhatsApp
M0000028,A00003,O20220046,2022,Física,2022-04-24,15,Concluída,63.8,WhatsApp
M0000029,A00003,O20220050,2022,Geografia,2022-04-22,0,Concluída,58.1,Instagram
M0000030,A00003,O20220049,2022,História,2022-04-26,25,Concluída,49.5,Instagram
M0000031,A00003,O20220053,2022,Inglês,2022-02-11,15,Ativa,64.9,Feira escolar
M0000032,A00003,O20220045,2022,Matemática,2022-01-09,0,Concluída,65.1,Feira escolar
M0000033,A00003,O20220051,2022,Português,2022-04-04,15,Concluída,61.0,
M0000034,A00003,O20220047,2022,Química,2022-03-18,0,Concluída,70.2,WhatsApp
M0000035,A00003,O20220052,2022,Redação,2022-04-10,0,Concluída,37.5,Instagram
M0000036,A00003,O20220055,2022,Sociologia,2022-01-15,25,Concluída,46.3,WhatsApp
M0000037,A00004,O20210032,2021,Filosofia,2021-03-01,0,Ativa,48.1,Google
M0000038,A00004,O20210024,2021,Física,2021-01-17,,Concluída,58.1,
M0000039,A00004,O20210028,2021,GEOGRAFIA,2021/02/08,30,Concluída,38.0,
M0000040,A00004,O20210027,2021,História,2021-04-06,10,Concluída,37.1,Instagram
M0000041,A00004,O20210031,2021,Inglês,2021-01-26,50,Concluída,64.0,WhatsApp
M0000042,A00004,O20210023,2021,Matemática,2021-03-14,30,Ativa,56.8,
M0000043,A00004,O20210029,2021,Português,2021-04-15,0,Concluída,44.3,
M0000044,A00004,O20210025,2021,Química,2021-02-17,25,Concluída,62.7,Feira escolar
M0000045,A00004,O20210030,2021,Redação,2021-04-21,30,Concluída,67.4,Indicação
M0000046,A00004,O20210033,2021,Sociologia,2021-01-19,30,Concluída,69.9,WhatsApp
M0000047,A00005,O20220059,2022,Biologia,2022-02-07,20,Concluída,86.2,Instagram
M0000048,A00005,O20220065,2022,Filosofia,2022-01-18,0,Concluída,52.7,Feira escolar
M0000049,A00005,O20220057,2022,Física,2022-02-09,30,Concluída,64.2,Instagram
M0000050,A00005,O20220061,2022,Geografia,2022-02-24,0,Concluída,48.7,Instagram
M0000051,A00005,O20220060,2022,História,2022-02-01,,Concluída,52.4,Google
M0000052,A00005,O20220064,2022,Inglês,03-14-2022,,Ativa,77.3,Instagram
M0000053,A00005,O20220056,2022,Matemática,2022-02-07,20,Ativa,48.5,WhatsApp
M0000054,A00005,O20220062,2022,Português,2022-04-10,15,Cancelada,78.9,
M0000055,A00005,O20220058,2022,Química,2022-01-28,20,Concluída,48.7,Google
M0000056,A00005,O20220063,2022,Redacao,2022-01-07,15,Concluída,92.6,
M0000057,A00005,O20220066,2022,Sociologia,2022-01-05,,Cancelada,51.7,Google
M0000058,A00006,O20230092,2023,BIOLOGIA,2023-02-15,30,Concluída,56.5,
M0000059,A00006,O20230098,2023,Filosofia,2023-02-12,0,Concluída,62.8,WhatsApp
M0000060,A00006,O20230094,2023,Geografia,2023-03-22,10,Concluída,74.3,Feira escolar
M0000061,A00006,O20230093,2023,História,2023-02-10,,Concluída,66.7,Instagram
M0000062,A00006,O20230097,2023,Inglês,2023-01-26,0,Ativa,59.9,WhatsApp
M0000063,A00006,O20230089,2023,Matematica,2023-03-01,,Concluída,59.5,Instagram
M0000064,A00006,O20230095,2023,Português,2023-02-13,10,Concluída,56.7,Feira escolar
M0000065,A00006,O20230096,2023,Redação,04-13-2023,50,Concluída,67.1,Feira escolar
M0000066,A00006,O20230099,2023,Sociologia,2023-02-04,20,Concluída,57.2,
M0000067,A00006,O20240136,2024,Biologia,2024-02-24,15,Ativa,69.3,Indicação
M0000068,A00006,O20240142,2024,Filosofia,2024-03-03,10,Concluída,64.0,Instagram
M0000069,A00006,O20240134,2024,Física,2024-04-20,0,Ativa,64.0,Google
M0000070,A00006,O20240138,2024,Geografia,2024-01-25,30,Concluída,61.7,WhatsApp
M0000071,A00006,O20240137,2024,História,2024-02-23,,Ativa,41.8,Instagram
M0000072,A00006,O20240141,2024,Inglês,2024-02-05,25,Concluída,81.6,Google
M0000073,A00006,O20240133,2024,Matemática,2024-01-12,0,Trancada,63.7,
M0000074,A00006,O20240139,2024,Português,2024-03-22,20,Concluída,50.3,WhatsApp
M0000075,A00006,O20240140,2024,Redação,2024-04-05,50,Concluída,39.1,Instagram
M0000076,A00006,O20240143,2024,Sociologia,2024/04/15,10,Concluída,65.4,Google
M0000077,A00007,O20240175,2024,Filosofia,2024-01-20,10,Concluída,66.8,Instagram
M0000078,A00007,O20240167,2024,Física,02-03-2024,50,Ativa,25.0,Google
M0000079,A00007,O20240174,2024,Inglês,2024-02-05,30,Concluída,67.9,Google
M0000080,A00007,O20240166,2024,Matemática,2024-03-08,0,concluida,60.8,Indicação
M0000081,A00007,O20240172,2024,Português,2024-01-16,25,Concluída,40.3,Instagram
M0000082,A00007,O20240168,2024,Química,2024-02-23,,Concluída,72.8,Instagram
M0000083,A00007,O20240173,2024,Redação,2024-01-02,20,Ativa,45.7,Google
M0000084,A00008,O20240156,2024,Física,2024/02/09,10,Ativa,83.1,Google
M0000085,A00008,O20240159,2024,História,2024-02-08,0,Concluída,54.4,Google
M0000086,A00008,O20240163,2024,Inglês,2024-03-16,25,Concluída,65.7,Feira escolar
M0000087,A00008,O20240155,2024,Matemática,2024-04-13,0,Concluída,55.5,Indicação
M0000088,A00008,O20240161,2024,Português,2024-02-22,15,Concluída,62.6,Indicação
M0000089,A00008,O20240157,2024,Química,2024-04-19,20,Concluída,62.0,Instagram
M0000090,A00008,O20240162,2024,Redacao,2024-03-12,25,Concluída,71.6,WhatsApp
M0000091,A00008,O20250197,2025,Filosofia,09/01/2025,10,Concluída,58.6,Google
M0000092,A00008,O20250189,2025,Física,17/04/2025,25,Concluída,66.1,Instagram
M0000093,A00008,O20250192,2025,História,2025-02-05,15,Concluída,68.2,Google
M0000094,A00008,O20250196,2025,Ingles,2025-02-25,20,Ativa,62.7,Indicação
M0000095,A00008,O20250188,2025,Matemática,2025-02-05,0,Cancelada,75.0,Feira escolar
M0000096,A00008,O20250194,2025,Português,2025-03-18,0,Concluída,47.8,Indicação
M0000097,A00008,O20250190,2025,Química,2025-02-02,50,Concluída,66.6,WhatsApp
