presenca_id,aula_id,aluno_id,status_presenca,atraso_min,justificativa
PA000000001,L0000001,A00009,presente,0,
PA000000002,L0000001,A00011,Presente,15,
PA000000003,L0000001,A00024,Presente,0,
PA000000004,L0000001,A00057,Presente,0,
PA000000005,L0000001,A00078,Presente,15,
PA000000006,L0000001,A00103,Presente,0,
PA000000007,L0000001,A00112,Presente,30,
PA000000008,L0000001,A00115,Presente,0,
PA000000009,L0000001,A00132,Atrasado,5,
PA000000010,L0000001,A00144,Presente,,
PA000000011,L0000001,A00150,Presente,0,
PA000000012,L0000001,A00174,Presente,0,
PA000000013,L0000001,A00176,Atrasado,15,
PA000000014,L0000001,A00211,Presente,15,
PA000000015,L0000001,A00216,Presente,15,
PA000000016,L0000001,A00241,Presente,0,
PA000000017,L0000001,A00288,presente,15,
PA000000018,L0000001,A00295,Presente,20,
PA000000019,L0000001,A00328,Presente,30,
PA000000020,L0000001,A00354,Presente,10,
PA000000021,L0000001,A00356,Presente,0,
PA000000022,L0000001,A00499,Presente,0,
PA000000023,L0000001,A00520,Presente,0,
PA000000024,L0000001,A00578,Presente,15,
PA000000025,L0000001,A00582,Presente,0,
PA000000026,L0000001,A00618,Presente,0,
PA000000027,L0000001,A00621,Presente,30,
PA000000028,L0000001,A00625,Ausente,,
PA000000029,L0000001,A00648,Presente,30,
PA000000030,L0000001,A00742,Presente,,
PA000000031,L0000001,A00765,Presente,10,
PA000000032,L0000001,A00793,Presente,10,
PA000000033,L0000001,A00796,Ausente,,Atestado
PA000000034,L0000002,A00009,Presente,15,
PA000000035,L0000002,A00011,Presente,0,
PA000000036,L0000002,A00024,Presente,,
PA000000037,L0000002,A00033,Presente,20,
PA000000038,L0000002,A00078,Presente,10,
PA000000039,L0000002,A00102,Presente,20,
PA000000040,L0000002,A00103,Presente,20,
PA000000041,L0000002,A00112,Presente,0,
PA000000042,L0000002,A00115,Presente,5,
PA000000043,L0000002,A00144,Presente,,
PA000000044,L0000002,A00174,Presente,,
PA000000045,L0000002,A00211,Presente,0,
PA000000046,L0000002,A00241,Presente,0,
PA000000047,L0000002,A00288,Presente,10,
PA000000048,L0000002,A00289,Presente,0,
PA000000049,L0000002,A00294,Presente,5,
PA000000050,L0000002,A00295,Presente,15,
PA000000051,L0000002,A00328,Presente,0,
PA000000052,L0000002,A00338,Presente,20,
PA000000053,L0000002,A00346,Justificado,,
PA000000054,L0000002,A00353,Presente,15,
PA000000055,L0000002,A00392,Justificado,,Atestado
PA000000056,L0000002,A00413,Presente,0,
PA000000057,L0000002,A00507,Ausente,,Motivo familiar
PA000000058,L0000002,A00520,Ausente,,Motivo familiar
PA000000059,L0000002,A00578,Presente,20,
PA000000060,L0000002,A00582,Presente,30,
PA000000061,L0000002,A00618,Atrasado,10,
PA000000062,L0000002,A00621,Presente,0,
PA000000063,L0000002,A00625,Presente,0,
PA000000064,L0000002,A00648,Presente,15,
PA000000065,L0000002,A00652,Presente,5,
PA000000066,L0000002,A00742,Presente,30,
PA000000067,L0000002,A00798,Ausente,,
PA000000068,L0000003,A00009,Ausente,,Atestado
PA000000069,L0000003,A00033,Ausente,,
PA000000070,L0000003,A00102,Presente,15,
PA000000071,L0000003,A00103,Presente,30,
PA000000072,L0000003,A00112,Presente,,
PA000000073,L0000003,A00115,Presente,,
PA000000074,L0000003,A00144,Presente,5,
PA000000075,L0000003,A00150,Presente,5,
PA000000076,L0000003,A00174,Presente,5,
PA000000077,L0000003,A00176,Atrasado,0,
PA000000078,L0000003,A00211,Presente,20,
PA000000079,L0000003,A00216,Presente,15,
PA000000080,L0000003,A00241,Presente,0,
PA000000081,L0000003,A00288,presente,0,
PA000000082,L0000003,A00289,Presente,0,
PA000000083,L0000003,A00294,Presente,5,
PA000000084,L0000003,A00295,,,
PA000000085,L0000003,A00328,Presente,20,
PA000000086,L0000003,A00338,Presente,30,
PA000000087,L0000003,A00346,Presente,,
PA000000088,L0000003,A00353,Presente,10,
PA000000089,L0000003,A00354,Presente,0,
PA000000090,L0000003,A00356,Presente,30,
PA000000091,L0000003,A00392,Presente,0,
PA000000092,L0000003,A00413,Presente,0,
PA000000093,L0000003,A00507,Ausente,,Atestado
PA000000094,L0000003,A00520,Ausente,,Motivo familiar
PA000000095,L0000003,A00578,Atrasado,15,
PA000000096,L0000003,A00582,Presente,10,
PA000000097,L0000003,A00618,Justificado,,
PA000000098,L0000003,A00621,Presente,20,
PA000000099,L0000003,A00625,Presente,15,
PA000000100,L0000003,A00652,Presente,0,
PA000000101,L0000003,A00742,Presente,10,
PA000000102,L0000003,A00765,Presente,15,
PA000000103,L0000003,A00793,Presente,0,
PA000000104,L0000003,A00796,Presente,15,
PA000000105,L0000003,A00798,Presente,15,
PA000000106,L0000004,A00011,Presente,30,
PA000000107,L0000004,A00024,Presente,0,
PA000000108,L0000004,A00040,Presente,0,
PA000000109,L0000004,A00057,Presente,0,
PA000000110,L0000004,A00078,Presente,20,
PA000000111,L0000004,A00102,Presente,,
PA000000112,L0000004,A00103,Presente,30,
PA000000113,L0000004,A00112,Presente,30,
PA000000114,L0000004,A00115,Presente,0,
PA000000115,L0000004,A00132,Presente,0,
PA000000116,L0000004,A00144,Presente,15,
PA000000117,L0000004,A00150,Presente,10,
PA000000118,L0000004,A00174,Ausente,,Motivo familiar
PA000000119,L0000004,A00211,Presente,15,
PA000000120,L0000004,A00241,Justificado,,Motivo familiar
PA000000121,L0000004,A00268,Presente,10,
PA000000122,L0000004,A00289,Presente,15,
PA000000123,L0000004,A00294,Presente,20,
PA000000124,L0000004,A00295,Atrasado,20,
PA000000125,L0000004,A00328,Ausente,,
