resultado_id,simulado_id,aluno_id,ano,status_realizacao,nota,acertos,tempo_finalizacao_min,inicio_simulado,dispositivo,tentativas,unidade_aplicacao
R00000001,S20210001,A00775,2021,Finalizado,92.6,55,319,28/05/2021 12:00,desktop,1,Online
R00000002,S20210001,A00530,2021,Finalizado,78.9,49,200,2021-10-10 10:00,Papel,,online
R00000003,S20210001,A00227,2021,Ausente,,,,2021-04-13 13:30,Papel,3,online
R00000004,S20210001,A00521,2021,Ausente,,,,2021-06-20 13:15,Celular,1,Centro
R00000005,S20210001,A00078,2021,Finalizado,84.3,52,162,2021-10-08 11:00,desktop,1,Aldeota
R00000006,S20210001,A00325,2021,Finalizado,70.7,44,247,2021-10-18 10:00,Celular,1,Online
R00000007,S20210001,A00040,2021,Incompleto,92.2,56,190,2021-06-24,Celular,3,Aldeota
R00000008,S20210001,A00627,2021,Incompleto,73.9,44,303,2021-10-22 08:30,Papel,1,Sul
R00000009,S20210001,A00536,2021,Finalizado,95.8,55,258,2021-04-24 18:45,desktop,1,Centro
R00000010,S20210001,A00534,2021,Finalizado,63.8,38,267,2021-04-10 16:15,Celular,1,Aldeota
R00000011,S20210001,A00026,2021,Finalizado,47.7,27,241,2021/07/13 11:15,Desktop,1,Sul
R00000012,S20210001,A00011,2021,Finalizado,55.0,30,180,2021-10-23,,,Aldeota
R00000013,S20210001,A00765,2021,Finalizado,32.7,22,186,2021-11-02,Tablet,1,
R00000014,S20210001,A00295,2021,Ausente,,,,2021-05-24 17:00,desktop,3,Aldeota
R00000015,S20210001,A00033,2021,Finalizado,83.1,51,230,2021-05-11 12:00,desktop,1,online
R00000016,S20210001,A00115,2021,finalizado,39.3,22,113,2021-08-07 15:30,Tablet,2,Online
R00000017,S20210001,A00216,2021,Incompleto,44.6,28,97,2021-11-08 13:00,Celular,2,Sul
R00000018,S20210001,A00294,2021,Finalizado,26.0,17,261,2021-09-11 15:45,Desktop,1,Online
R00000019,S20210001,A00112,2021,Finalizado,37.7,20,212,2021-08-07 15:45,Tablet,1,online
R00000020,S20210001,A00520,2021,Finalizado,84.1,52,230,2021-05-22 10:45,Papel,1,
R00000021,S20210001,A00376,2021,,80.3,46,198,2021-10-25 16:30,,1,Aldeota
R00000022,S20210001,A00137,2021,Finalizado,84.7,49,124,2021-09-13 11:00,desktop,1,Centro
R00000023,S20210001,A00073,2021,Finalizado,30.8,19,276,2021-07-11 18:45,,,Aldeota
R00000024,S20210001,A00120,2021,Finalizado,30.9,17,165,2021-11-23 16:30,,1,Centro
R00000025,S20210001,A00346,2021,finalizado,65.3,39,273,2021-04-01 10:00,,2,online
R00000026,S20210001,A00563,2021,Finalizado,40.7,21,189,2021-11-21 18:00,Desktop,,Aldeota
R00000027,S20210001,A00798,2021,Ausente,,,,2021-07-06 14:30,Celular,3,online
R00000028,S20210001,A00354,2021,Finalizado,42.0,25,181,2021-06-08 10:45,desktop,1,
R00000029,S20210001,A00742,2021,Finalizado,72.5,44,213,2021-07-27 17:15,,3,online
R00000030,S20210001,A00009,2021,,52.7,31,248,2021-10-07 09:15,Tablet,1,Centro
R00000031,S20210001,A00764,2021,Finalizado,75.2,47,242,2021-06-19 18:00,Papel,1,Sul
R00000032,S20210001,A00085,2021,Finalizado,85.1,53,202,2021-09-07 08:45,desktop,1,Sul
R00000033,S20210001,A00368,2021,Finalizado,53.9,34,260,2021-06-08,Papel,3,
R00000034,S20210001,A00487,2021,Finalizado,70.0,41,258,2021-11-10 13:15,Tablet,,Aldeota
R00000035,S20210001,A00621,2021,Finalizado,34.2,19,234,2021-06-25 13:45,,1,online
R00000036,S20210001,A00502,2021,Finalizado,42.4,26,261,2021-09-12 10:30,desktop,2,Online
R00000037,S20210001,A00481,2021,Finalizado,51.7,29,287,07/07/2021 13:00,Celular,2,online
R00000038,S20210001,A00275,2021,Finalizado,66.7,40,199,07/04/2021 19:30,Papel,1,Sul
R00000039,S20210001,A00458,2021,Incompleto,71.6,41,248,2021-06-25,Tablet,1,Aldeota
R00000040,S20210001,A00004,2021,Finalizado,42.5,27,102,07/07/2021 18:45,Celular,1,Online
